0,1,2,3,4,5,6,7,8,9,10,11,name
7.25,66.0,21.75,3.0,0.0,484.0,159.5,0.0,22.0,52.5625,0.0,7.25,6
71.2833,38.0,71.2833,1.0,1.0,1444.0,2708.7653999999998,38.0,0.0,5081.30885889,71.2833,0.0,3
7.925,78.0,23.775,0.0,3.0,676.0,206.04999999999998,26.0,0.0,62.805625,7.925,0.0,4
53.1,35.0,53.1,1.0,1.0,1225.0,1858.5,35.0,0.0,2819.61,53.1,0.0,3
8.05,105.0,24.150000000000002,0.0,0.0,1225.0,281.75,0.0,35.0,64.80250000000001,0.0,8.05,6
8.4583,89.09735294117647,25.374899999999997,0.0,0.0,882.0375890138406,251.2040467941176,0.0,29.69911764705882,71.54283888999998,0.0,8.4583,6
51.8625,54.0,51.8625,0.0,0.0,2916.0,2800.575,0.0,54.0,2689.7189062499997,0.0,51.8625,6
21.075,6.0,63.224999999999994,12.0,0.0,4.0,42.15,0.0,2.0,444.155625,0.0,21.075,5
11.1333,81.0,33.3999,6.0,3.0,729.0,300.5991,27.0,0.0,123.95036889000001,11.1333,0.0,3
30.0708,28.0,60.1416,2.0,2.0,196.0,420.9912,14.0,0.0,904.25301264,30.0708,0.0,3
16.7,12.0,50.099999999999994,6.0,3.0,16.0,66.8,4.0,0.0,278.89,16.7,0.0,4
26.55,58.0,26.55,0.0,1.0,3364.0,1539.9,58.0,0.0,704.9025,26.55,0.0,4
8.05,60.0,24.150000000000002,0.0,0.0,400.0,161.0,0.0,20.0,64.80250000000001,0.0,8.05,6
31.275,117.0,93.82499999999999,18.0,0.0,1521.0,1219.725,0.0,39.0,978.1256249999999,0.0,31.275,6
7.8542,42.0,23.5626,0.0,3.0,196.0,109.9588,14.0,0.0,61.688457639999996,7.8542,0.0,4
16.0,110.0,32.0,0.0,2.0,3025.0,880.0,55.0,0.0,256.0,16.0,0.0,3
29.125,6.0,87.375,15.0,0.0,4.0,58.25,0.0,2.0,848.265625,0.0,29.125,5
13.0,59.39823529411764,26.0,0.0,0.0,882.0375890138406,386.0885294117647,0.0,29.69911764705882,169.0,0.0,13.0,6
18.0,93.0,54.0,3.0,3.0,961.0,558.0,31.0,0.0,324.0,18.0,0.0,3
7.225,89.09735294117647,21.674999999999997,0.0,3.0,882.0375890138406,214.57612499999996,29.69911764705882,0.0,52.200624999999995,7.225,0.0,3
26.0,70.0,52.0,0.0,0.0,1225.0,910.0,0.0,35.0,676.0,0.0,26.0,6
13.0,68.0,26.0,0.0,0.0,1156.0,442.0,0.0,34.0,169.0,0.0,13.0,6
8.0292,45.0,24.0876,0.0,3.0,225.0,120.43799999999999,15.0,0.0,64.46805264,8.0292,0.0,4
35.5,28.0,35.5,0.0,0.0,784.0,994.0,0.0,28.0,1260.25,0.0,35.5,6
21.075,24.0,63.224999999999994,12.0,3.0,64.0,168.6,8.0,0.0,444.155625,21.075,0.0,4
31.3875,114.0,94.1625,18.0,3.0,1444.0,1192.725,38.0,0.0,985.17515625,31.3875,0.0,3
7.225,89.09735294117647,21.674999999999997,0.0,0.0,882.0375890138406,214.57612499999996,0.0,29.69911764705882,52.200624999999995,0.0,7.225,6
263.0,19.0,263.0,5.0,0.0,361.0,4997.0,0.0,19.0,69169.0,0.0,263.0,6
7.8792,89.09735294117647,23.6376,0.0,3.0,882.0375890138406,234.00528776470586,29.69911764705882,0.0,62.081792639999996,7.8792,0.0,4
7.8958,89.09735294117647,23.6874,0.0,0.0,882.0375890138406,234.49829311764705,0.0,29.69911764705882,62.34365764,0.0,7.8958,6
27.7208,40.0,27.7208,0.0,0.0,1600.0,1108.832,0.0,40.0,768.44275264,0.0,27.7208,1
146.5208,29.69911764705882,146.5208,1.0,1.0,882.0375890138406,4351.538476941176,29.69911764705882,0.0,21468.344832640003,146.5208,0.0,3
7.75,89.09735294117647,23.25,0.0,3.0,882.0375890138406,230.16816176470584,29.69911764705882,0.0,60.0625,7.75,0.0,4
10.5,132.0,21.0,0.0,0.0,4356.0,693.0,0.0,66.0,110.25,0.0,10.5,6
82.1708,28.0,82.1708,1.0,0.0,784.0,2300.7824,0.0,28.0,6752.04037264,0.0,82.1708,6
52.0,42.0,52.0,1.0,0.0,1764.0,2184.0,0.0,42.0,2704.0,0.0,52.0,6
7.2292,89.09735294117647,21.6876,0.0,0.0,882.0375890138406,214.7008612941176,0.0,29.69911764705882,52.26133263999999,0.0,7.2292,6
8.05,63.0,24.150000000000002,0.0,0.0,441.0,169.05,0.0,21.0,64.80250000000001,0.0,8.05,6
18.0,54.0,54.0,6.0,3.0,324.0,324.0,18.0,0.0,324.0,18.0,0.0,4
11.2417,42.0,33.7251,3.0,3.0,196.0,157.3838,14.0,0.0,126.37581888999999,11.2417,0.0,4
